Latitude,Longitude,Country,State,Deaths,Confirmed,Recovered,County,FIPS,People_Hospitalized,People_Tested,Incident_Rate,Mortality_Rate,Testing_Rate,Hospitalization_Rate,_time,file_name
31.1695,-91.8678,US,Louisiana,3288,65226,43026.0,,22.0,,802454.0,1403.0735713391473,5.040934596633244,,,07-05-2020,07-05-2020.csv
44.6939,-69.3819,US,Maine,109,3415,2772.0,,23.0,359.0,107932.0,254.05218819650472,3.191800878477306,,10.512445095168374,07-05-2020,07-05-2020.csv
39.0639,-76.8021,US,Maryland,3243,69632,5029.0,,24.0,11071.0,579962.0,1151.7645657725848,4.657341452205882,,15.899299172794118,07-05-2020,07-05-2020.csv
42.2302,-71.5301,US,Massachusetts,8183,109974,93157.0,,25.0,11463.0,891685.0,1595.5596972536682,7.440849655373088,,10.423372797206612,07-05-2020,07-05-2020.csv
43.3266,-84.5361,US,Michigan,6218,72941,52841.0,,26.0,,1146819.0,730.3699251926809,8.5246980436243,,,07-05-2020,07-05-2020.csv
45.6945,-93.9002,US,Minnesota,1508,38136,37617.0,,27.0,4170.0,674015.0,676.2143345523256,3.954268932242501,,10.934550031466332,07-05-2020,07-05-2020.csv
32.7416,-89.6787,US,Mississippi,1111,30900,19388.0,,28.0,3268.0,310141.0,1038.2544691142816,3.5954692556634305,,10.576051779935275,07-05-2020,07-05-2020.csv
38.4561,-92.2884,US,Missouri,1051,23816,,,29.0,,419509.0,388.04528541923423,4.412999664091367,,,07-05-2020,07-05-2020.csv
46.9219,-110.4544,US,Montana,23,1212,678.0,,30.0,112.0,100106.0,113.4005378104714,1.8976897689768977,,9.24092409240924,07-05-2020,07-05-2020.csv
41.1254,-98.2681,US,Nebraska,284,19929,14340.0,,31.0,1368.0,189928.0,1030.2376747821556,1.4250589593055347,,6.864368508204125,07-05-2020,07-05-2020.csv
38.3135,-117.0554,US,Nevada,534,22418,727.0,,32.0,,307697.0,727.8202792326103,2.38201445267196,,,07-05-2020,07-05-2020.csv
43.4525,-71.5639,US,New Hampshire,381,5897,4597.0,,33.0,569.0,123749.0,433.695101385515,6.460912328302528,,9.648974054604038,07-05-2020,07-05-2020.csv
40.2989,-74.521,US,New Jersey,15211,173402,30660.0,,34.0,20237.0,1534640.0,1952.2437597034063,8.7721018212016,,11.670568966909265,07-05-2020,07-05-2020.csv
34.8405,-106.2485,US,New Mexico,513,13256,5845.0,,35.0,1988.0,372288.0,632.1927062244943,3.8699456849728415,,14.99698249849125,07-05-2020,07-05-2020.csv
42.1657,-74.9481,US,New York,32206,397131,70968.0,,36.0,89995.0,4233803.0,2041.4308722192307,8.109666583570661,,22.661288088817038,07-05-2020,07-05-2020.csv
35.6301,-79.8064,US,North Carolina,1423,72992,45538.0,,37.0,,1036838.0,695.9517105316852,1.9495287154756689,,,07-05-2020,07-05-2020.csv
47.5289,-99.784,US,North Dakota,80,3816,3324.0,,38.0,242.0,113128.0,500.746658408371,2.0964360587002098,,6.341719077568135,07-05-2020,07-05-2020.csv
15.0979,145.6739,US,Northern Mariana Islands,2,31,19.0,,69.0,,8218.0,56.216451472508346,6.451612903225807,,,07-05-2020,07-05-2020.csv
40.3888,-82.7649,US,Ohio,2911,57150,40460.0,,39.0,8172.0,868762.0,488.9170252628517,5.093613298337708,,14.299212598425195,07-05-2020,07-05-2020.csv
35.5653,-96.9289,US,Oklahoma,398,15931,12246.0,,40.0,1685.0,364717.0,402.6059326692058,2.4982738057874583,,10.57686272048208,07-05-2020,07-05-2020.csv
44.572,-122.0709,US,Oregon,215,10230,2759.0,,41.0,1069.0,264201.0,242.54712894616242,2.101661779081134,,10.449657869012707,07-05-2020,07-05-2020.csv
40.5908,-77.2098,US,Pennsylvania,6753,94403,70086.0,,42.0,,824700.0,737.4088510777506,7.153374363102867,,,07-05-2020,07-05-2020.csv
18.2208,-66.5901,US,Puerto Rico,155,7916,,,72.0,,7916.0,269.85676728228736,1.9580596260737744,,,07-05-2020,07-05-2020.csv
41.6809,-71.5118,US,Rhode Island,960,16991,1657.0,,44.0,2019.0,250954.0,1603.891402458652,5.6500500264846085,,11.882761461950444,07-05-2020,07-05-2020.csv
33.8569,-80.945,US,South Carolina,820,44847,16994.0,,45.0,2882.0,430809.0,871.0330385412745,1.8284389145316295,,6.426293843512387,07-05-2020,07-05-2020.csv
44.2998,-99.4388,US,South Dakota,97,7063,6063.0,,46.0,691.0,84003.0,798.3867230198304,1.373354098824862,,9.783378167917316,07-05-2020,07-05-2020.csv
